[06:53:54] [INFO] received Windows console close event; shutting log-core down
[06:57:10] [INFO] received Windows console close event; shutting log-core down
[06:58:15] [INFO] received Windows console close event; shutting log-core down
[06:59:26] [INFO] received Windows console close event; shutting log-core down
[07:05:02] [INFO] received Windows console close event; shutting log-core down
[07:09:42] [INFO] received Windows console close event; shutting log-core down
[07:35:08] [INFO] received Windows console close event; shutting log-core down
[07:51:56] [INFO] received Windows console close event; shutting log-core down
[07:58:25] [INFO] received Windows console close event; shutting log-core down
[08:05:14] [INFO] received Windows console close event; shutting log-core down
[08:19:45] [INFO] received Windows console close event; shutting log-core down
[08:20:50] [INFO] received Windows console close event; shutting log-core down
[08:25:42] [INFO] received Windows console close event; shutting log-core down
[08:25:50] [INFO] received Windows console close event; shutting log-core down
[08:26:04] [INFO] received Windows console close event; shutting log-core down
[08:36:13] [INFO] received Windows console close event; shutting log-core down
[08:36:16] [INFO] received Windows console close event; shutting log-core down
[08:48:29] [INFO] received Windows console close event; shutting log-core down
[08:52:16] [INFO] received Windows console close event; shutting log-core down
[08:53:01] [INFO] received Windows console close event; shutting log-core down
[09:00:12] [INFO] received Windows console close event; shutting log-core down
[09:01:13] [INFO] received Windows console close event; shutting log-core down
[09:06:54] [INFO] received Windows console close event; shutting log-core down
[09:07:38] [INFO] received Windows console close event; shutting log-core down
[09:08:59] [INFO] received Windows console close event; shutting log-core down
[09:09:57] [INFO] received Windows console close event; shutting log-core down
[09:11:36] [INFO] received Windows console close event; shutting log-core down
[09:23:01] [INFO] received Windows console close event; shutting log-core down
[09:23:47] [INFO] received Windows console close event; shutting log-core down
[09:24:51] [INFO] received Windows console close event; shutting log-core down
[09:26:27] [INFO] received Windows console close event; shutting log-core down
[09:26:49] [INFO] received Windows console close event; shutting log-core down
[23:25:42] [INFO] received Windows console close event; shutting log-core down
[23:28:38] [INFO] received Windows console close event; shutting log-core down
[23:52:15] [INFO] received Windows console close event; shutting log-core down
[23:53:01] [INFO] received Windows console close event; shutting log-core down
[23:53:39] [INFO] received Windows console close event; shutting log-core down
[23:54:07] [INFO] received Windows console close event; shutting log-core down
[23:54:14] [INFO] received Windows console close event; shutting log-core down
[23:57:29] [INFO] received Windows console close event; shutting log-core down
[00:03:19] [INFO] received Windows console close event; shutting log-core down
[00:03:54] [INFO] received Windows console close event; shutting log-core down
[00:04:54] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:07:02] [INFO] received Windows console close event; shutting log-core down
[00:07:38] [INFO] received Windows console close event; shutting log-core down
[00:19:59] [INFO] received Windows console close event; shutting log-core down
[00:20:58] [INFO] received Windows console close event; shutting log-core down
[00:22:29] [INFO] received Windows console close event; shutting log-core down
[00:23:06] [INFO] received Windows console close event; shutting log-core down
[00:23:49] [INFO] received Windows console close event; shutting log-core down
[00:28:18] [INFO] received Windows console close event; shutting log-core down
[00:29:31] [INFO] received Windows console close event; shutting log-core down
[00:44:42] [INFO] received Windows console close event; shutting log-core down
[00:57:21] [INFO] received Windows console close event; shutting log-core down
[00:58:37] [INFO] received Windows console close event; shutting log-core down
[01:11:52] [INFO] received Windows console close event; shutting log-core down
[01:13:15] [INFO] received Windows console close event; shutting log-core down
[01:14:45] [INFO] received Windows console close event; shutting log-core down
[01:14:56] [INFO] received Windows console close event; shutting log-core down
[01:16:05] [INFO] received Windows console close event; shutting log-core down
[09:42:03] [INFO] received Windows console close event; shutting log-core down
[09:42:33] [INFO] received Windows console close event; shutting log-core down
[09:42:59] [INFO] received Windows console close event; shutting log-core down
[09:44:14] [INFO] received Windows console close event; shutting log-core down
[09:47:04] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[09:54:00] [INFO] received Windows console close event; shutting log-core down
[09:58:35] [INFO] received Windows console close event; shutting log-core down
[10:02:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
